name,restaurant,date,STUDENT,DOCTORANT,CAMPUS,VISITOR
Tortillas espagnole (pommes-de-terre et oeuf) Poivrons rôtis,La Ruche,2022-10-26,10.0,11.0,12.0,13.0
Macaroni du chalet  (Pommes-de-terre  fromage  jambon),La Ruche,2022-10-26,7.5,12.0,12.0,12.0
[Swiss Burger] Pain bun  crème de moutarde à l’ancienne  gruyère  coleslaw  oignons frits  sucrine  bœuf braisé au vin rouge - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-26,13.0,16.0,16.0,16.0
[Mexican Veggie Burger] Pain bun  mayonnaise au curry  cheddar  tomates  sucrine  galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-26,13.0,16.0,16.0,16.0
[La Pasta] Tagliatelles  champignon du moment  roquette  parmesan  chips de bacon,La Table de Vallotton by Novae,2022-10-26,14.0,17.0,17.0,17.0
[La Pasta Veggie] Penne  champignon du moment  crème de Grana Padano  roquette  chips de parmesan,La Table de Vallotton by Novae,2022-10-26,13.0,16.0,16.0,16.0
[La Salade Veggie] Salade César avec sucrine  tomates cerises  parmesan  croûtons  sauce César  quorn  oeuf ,La Table de Vallotton by Novae,2022-10-26,15.0,18.0,18.0,18.0
[La Pièce du Boucher] Entrecôte parisienne (220gr)  beurre maître d’hôtel - Servie avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-26,22.0,25.0,25.0,25.0
[La Pièce du Primeur] Aubergine grillée  jus corsé curry-tomate  riz jasmin parfumé à la cannelle  sauce raïta,La Table de Vallotton by Novae,2022-10-26,19.0,22.0,22.0,22.0
[Le Ceviche] Coriandre  zestes et jus de citron vert  piment rouge  gingembre  tabasco  daurade  pain toasté - Servi avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-26,22.0,25.0,25.0,25.0
Mijoté de porc aux citrons confit  pomme de terre rôti et carotte vapeur,Le Klee by Novae,2022-10-26,10.0,11.0,12.0,13.0
Choucroute garnie  pommes de terre vapeur,Microcity,2022-10-26,10.5,12.0,13.0,14.0
Gratin de côtes de blettes  crozets,Microcity,2022-10-26,10.5,12.0,13.0,14.0
Pizza napolitaine  salade roquette  soupe ou salade verte,Microcity,2022-10-26,8.1,8.8,9.9,11.3
Salade d'automne: Endives  pommes de terre  gruyère  oignons  noix,Microcity,2022-10-26,12.0,12.0,12.0,12.0
Gyoza  udon  légumes croquants  mélange de champignons et bouillon aromatique au miso,Native,2022-10-26,11.3,12.1,12.6,14.1
Choucroute garnie (saucisse  palette  lard fumé  saucisson vaudois),Ornithorynque,2022-10-26,12.0,13.5,14.5,15.5
Rösti pizza aux aubergines  courgettes  tomates  poivrons et mozzarella,Ornithorynque,2022-10-26,8.0,9.5,9.9,10.9
[Orni Kebab] Emincé de poulet à la libanaise  sauce yoghourt au cumin et garnitures,Ornithorynque,2022-10-26,9.5,10.5,11.0,12.0
Fusilli au pesto rosso et légumes grillés  Grana et roquette,Ornithorynque,2022-10-26,5.9,7.0,8.0,9.0
Caserecce al Funghi,Piano ,2022-10-26,8.6,9.9,11.0,13.5
Burger du Chasseur (Buns sésame  Burger de bœuf  oignons  Cheddar  Tomates  Backed potatoes et sauce yogourt),Piano ,2022-10-26,13.8,14.9,14.9,16.9
Cocotte de pasta Bolognaise,Piano ,2022-10-26,8.1,8.8,9.9,11.3
Caserecce al Funghi,Piano ,2022-10-26,9.7,12.1,13.2,15.2
RICE POKE BOWLS (Riz sushi  jeunes pousses  Carottes colorées  Choux fleur pickles  Radis  Concombre  Julienne de pois gourmand  Wakame  Pousse de soja  Tofu frit et Poulet croustillant  Tempura de légumes),Zaha,2022-10-26,12.5,8.2,8.2,8.2
NODDLES POE BOWLS (Nouilles Soba  Maïs et pois  Choux rouges  Pousse mango  Julienne de pois gourmand  Basilic Thaï  Carottes croquantes et Crevettes parfumées),Zaha,2022-10-26,8.2,8.2,8.2,8.2
Crème à la Courge et sa garniture			 Huile de courge ,Alpine,2022-10-27,8.1,8.8,9.9,11.3
Chili con Carne (Bœuf Suisse) Riz Aztèque,Alpine,2022-10-27,8.6,9.9,11.0,12.4
Falafel Bowl  sauce yogourt Falafel de betteraves Boulgour Condiments d'accompagnement,Alpine,2022-10-27,11.5,12.0,12.5,13.5
